Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.0591666666667,17.8466666666667,10.5108333333333,9.2425,10.635,11.04,11.0855177240768,27.7054264197308,51.67878,19.1462485849518,6.77657874174753,6.16324166666666,8.62691666666666,11.0520333333333,19.4681583333333,15.655,10.5575,14.0875,14.0608333333333,17.1491666666667,24.0091666666667,24.9158333333333,31.2325,26.5808333333333,37.39125,..
Argentina,ARG,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,115.430014089286,131.715563141723,117.287882703543,79.6136498236847,157.070958318873,126.23854352053,281.314376560859,396.845330881801,630.03114446513,94.6859135585226,175.945564586427,371.846283395348,17235.8149966616,1517.87569734601,61.6758333333333,16.7791666666667,11.3408333333333,8.08333333333333,11.9025,7.35666666666667,6.96666666666667,7.56166666666667,8.04666666666667,8.33787833439748,16.1635974932858,39.2484458175081,10.160700678529,2.61496759139057,3.76232304842149,6.42137358813992,7.97163225634332,11.0493290172212,11.6040351112797,9.16684206720562,10.6791717588966,12.0234954622098,14.8544545942618,20.41768368433,21.169148538645,24.2799621369518,18.9997425636825,25.1099170581063,..
Argentina,ARG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,8.71666666663333E-12,1.3871666666625E-11,1.40391666666167E-11,1.69566666666417E-11,2.09149999999667E-11,3.33424999999917E-11,3.5E-11,3.5E-11,3.79166666566667E-11,4.52166666566667E-11,4.999999999E-11,4.999999999E-11,4.999999999E-11,3.65749999995E-10,1.39983333333167E-09,4.07633333332833E-09,7.95749999999583E-09,1.31696666666408E-08,1.83715833333225E-08,4.40269166666725E-08,2.59225333333263E-07,1.05299574995841E-06,6.7649116666E-06,6.01809E-05,9.43031666666667E-05,0.000214429833333333,0.000875260416666667,0.0423339608333333,0.487589083333333,0.953554416666667,0.990641666666667,0.998945833333333,0.999008333333333,0.99975,0.9996625,0.9995,0.9995,0.9995,0.9995,0.9995,3.06325666666667,2.90062916666667,2.92330081890332,2.9036575,3.05431333333333,3.09564884920635,3.14416455988456,3.71010683052328,3.8962951544705,4.11013957621326,4.53693436018746,5.45935266465704,8.07527599281334,9.23318552472429,14.7581750873396,16.5627069251411,28.0949916666667,..
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.587183662423791,0.698527511850048,0.763039901051732,0.712791812122746,0.717056694430003,0.724559630695776,0.71115860554349,0.695860098021359,0.676380931968066,0.654508978195401,0.646838212686225,0.626019106630443,0.251539444480814,0.296239637337474,0.341458291255451,0.367178537803006,0.385982158969182,0.426335859388694,0.505367355996195,0.490953459362447,0.560650188489731,0.648361110435269,0.661936621162213,0.642271583381021,0.616483435316641,0.670940655072505,0.635369261115303,0.700079394587712,0.566891184663791,..
Australia,AUS,Lending interest rate (%),FR.INR.LEND,5,5.5,5.5,5.125,5.07291666666667,5.3125,5.375,5.375,5.58333333333333,5.875,6.90625,7.25,7.02083333333333,7.34375,9.375,10.2708333333333,9.91666666666667,9.875,9.375,9.125,9.97916666666667,11.8333333333333,13.2916666666667,12.4166666666667,11.5,12.4166666666667,15,15.0833333333333,14.0833333333333,16.4583333333333,16.3541666666667,13.4166666666667,10.5833333333333,9.41666666666667,9.0875,10.5,9.72916666666667,7.16666666666667,6.68333333333333,6.56666666666667,7.71666666666667,6.84166666666667,6.3625,6.6125,7.05,7.25833333333333,7.6125,8.19583333333333,8.90833333333333,6.02083333333333,7.27916666666667,7.7375,6.975,6.17916666666667,5.95,5.575,5.42083333333333,5.2455,5.26083333333333,..
Australia,AUS,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.65,12.8375,10.9875,10.6583333333333,11.9791666666667,13.8666666666667,12.725,11.425,15.6875,13.5333333333333,9.45,6.09166666666667,4.92916666666667,4.91666666666667,6.1125,5.7125,4.31666666666667,3.70833333333333,3.47083333333333,4.19583333333333,3.19583333333333,3.65833333333333,3.50833333333333,3.85,3.89166666666667,4.0625,4.52916666666667,4.725,3.07916666666667,4.2125,4.3375,3.91666666666667,3.25,2.90416666666667,2.30416666666667,2.14166666666667,2.00833333333333,1.97916666666667,..
Australia,AUS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.882670259295548,0.838697807262207,0.704113907966658,0.696665868638096,0.763871249,0.818284082333333,0.901824999,0.873659249,0.894640915666667,0.878244332333333,0.870214582333333,0.985862832333333,1.11001499916667,1.13951916591667,1.4318949995,1.49597416641667,1.42818,1.27990833333333,1.26459666666667,1.28105666666667,1.28375583333333,1.36164833333333,1.47056,1.36775083333333,1.3490325,1.27786333333333,1.34738,1.59182833333333,1.54995,1.72482666666667,1.9334425,1.8405625,1.54191416666667,1.3597525,1.30947333333333,1.3279734405,1.1950725,1.19217833333333,1.28218881008452,1.09015948638677,0.969463201496735,0.965801030658708,1.03584309652054,1.10936329281692,1.33109026245502,1.34521397601947,1.30475807671592,1.33841214646451,..
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.72881355932205,2.2875816993464,-0.319488817891384,0.641025641025639,2.86624203821656,3.40557275541798,3.29341317365269,3.47826086956521,2.52100840336133,3.27868852459017,3.43915343915344,6.13810741687979,6.02409638554218,9.09090909090911,15.4166666666667,15.1624548736462,13.3228840125392,12.3098201936376,8.00492610837437,9.12200684150512,10.1358411703239,9.48766603415561,11.3518197573657,10.0389105058366,3.96039603960395,6.73469387755101,9.05035054174635,8.53302162478083,7.21593968766826,7.53390256152692,7.33302195235869,3.17667536988686,1.01223112610711,1.75365344467641,1.96963479688142,4.62776659959758,2.61538461538462,0.224887556221881,0.860134629768157,1.48312940304038,4.45743514797225,4.4071353620147,2.98157453936349,2.73259596616783,2.34325522482587,2.69183168316831,3.55528773727028,2.32761128891476,4.35029854990047,1.77111716621252,2.91834002677376,3.30385015608744,1.76278015613193,2.44988864142539,2.48792270531403,1.50836672165921,1.27699094497328,1.94864740944522,1.91140094445692,..
